prefecture,city,city_url,city_reading,city_change
北海道,赤平市,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1012180&cmp=1,アカビラシ,
北海道,阿寒郡阿寒町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1016661&cmp=1,アカングンアカンチョウ,釧路市
北海道,阿寒郡鶴居村,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1016670&cmp=1,アカングンツルイムラ,
北海道,旭川市,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1012040&cmp=1,アサヒカワシ,
北海道,芦別市,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1012160&cmp=1,アシベツシ,
北海道,足寄郡足寄町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1016470&cmp=1,アショログンアショロチョウ,
北海道,足寄郡陸別町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1016480&cmp=1,アショログンリクベツチョウ,
北海道,厚岸郡厚岸町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1016620&cmp=1,アッケシグンアッケシチョウ,
北海道,厚岸郡浜中町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1016630&cmp=1,アッケシグンハマナカチョウ,
北海道,厚田郡厚田村,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1013051&cmp=1,アツタグンアツタムラ,石狩市
北海道,網走郡大空町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1015640&cmp=1,アバシリグンオオゾラチョウ,
北海道,網走郡津別町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1015440&cmp=1,アバシリグンツベツチョウ,
北海道,網走郡東藻琴村,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1015411&cmp=1,アバシリグンヒガシモコトムラ,網走郡大空町
北海道,網走郡美幌町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1015430&cmp=1,アバシリグンビホロチョウ,
北海道,網走郡女満別町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1015421&cmp=1,アバシリグンメマンベツチョウ,網走郡大空町
北海道,網走市,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1012110&cmp=1,アバシリシ,
北海道,虻田郡虻田町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1015721&cmp=1,アブタグンアブタチョウ,虻田郡洞爺湖町
北海道,虻田郡喜茂別町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1013980&cmp=1,アブタグンキモベツチョウ,
北海道,虻田郡京極町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1013990&cmp=1,アブタグンキョウゴクチョウ,
北海道,虻田郡倶知安町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1014000&cmp=1,アブタグンクッチャンチョウ,
北海道,虻田郡洞爺湖町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1015840&cmp=1,アブタグントウヤコチョウ,
北海道,虻田郡洞爺村,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1015731&cmp=1,アブタグントウヤムラ,虻田郡洞爺湖町
北海道,虻田郡豊浦町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1015710&cmp=1,アブタグントヨウラチョウ,
北海道,虻田郡ニセコ町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1013950&cmp=1,アブタグンニセコチョウ,
北海道,虻田郡真狩村,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1013960&cmp=1,アブタグンマッカリムラ,
北海道,虻田郡留寿都村,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1013970&cmp=1,アブタグンルスツムラ,
北海道,石狩郡新篠津村,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1013040&cmp=1,イシカリグンシンシノツムラ,
北海道,石狩郡当別町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1013030&cmp=1,イシカリグントウベツチョウ,
北海道,石狩市,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1012350&cmp=1,イシカリシ,
北海道,磯谷郡蘭越町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1013940&cmp=1,イソヤグンランコシチョウ,
北海道,岩内郡岩内町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1014020&cmp=1,イワナイグンイワナイチョウ,
北海道,岩内郡共和町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1014010&cmp=1,イワナイグンキョウワチョウ,
北海道,岩見沢市,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1012100&cmp=1,イワミザワシ,
北海道,有珠郡大滝村,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1015741&cmp=1,ウスグンオオタキムラ,伊達市
北海道,有珠郡壮瞥町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1015750&cmp=1,ウスグンソウベツチョウ,
北海道,歌志内市,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1012270&cmp=1,ウタシナイシ,
北海道,浦河郡浦河町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1016070&cmp=1,ウラカワグンウラカワチョウ,
北海道,雨竜郡雨竜町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1014360&cmp=1,ウリュウグンウリュウチョウ,
北海道,雨竜郡秩父別町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1014340&cmp=1,ウリュウグンチップベツチョウ,
北海道,雨竜郡沼田町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1014380&cmp=1,ウリュウグンヌマタチョウ,
北海道,雨竜郡北竜町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1014370&cmp=1,ウリュウグンホクリュウチョウ,
北海道,雨竜郡幌加内町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1014720&cmp=1,ウリュウグンホロカナイチョウ,
北海道,雨竜郡妹背牛町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1014330&cmp=1,ウリュウグンモセウシチョウ,
北海道,枝幸郡歌登町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1015151&cmp=1,エサシグンウタノボリチョウ,枝幸郡枝幸町
北海道,枝幸郡枝幸町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1015140&cmp=1,エサシグンエサシチョウ,
北海道,枝幸郡中頓別町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1015130&cmp=1,エサシグンナカトンベツチョウ,
北海道,枝幸郡浜頓別町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1015120&cmp=1,エサシグンハマトンベツチョウ,
北海道,恵庭市,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1012310&cmp=1,エニワシ,
北海道,江別市,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1012170&cmp=1,エベツシ,
北海道,奥尻郡奥尻町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1013670&cmp=1,オクシリグンオクシリチョウ,
北海道,小樽市,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1012030&cmp=1,オタルシ,
北海道,帯広市,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1012070&cmp=1,オビヒロシ,
北海道,河西郡更別村,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1016390&cmp=1,カサイグンサラベツムラ,
北海道,河西郡中札内村,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1016380&cmp=1,カサイグンナカサツナイムラ,
北海道,河西郡芽室町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1016370&cmp=1,カサイグンメムロチョウ,
北海道,河東郡音更町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1016310&cmp=1,カトウグンオトフケチョウ,
北海道,河東郡上士幌町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1016330&cmp=1,カトウグンカミシホロチョウ,
北海道,河東郡鹿追町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1016340&cmp=1,カトウグンシカオイチョウ,
北海道,河東郡士幌町,https://www.post.japanpost.jp/cgi-zip/zipcode.php?pref=1&city=1016320&cmp=1,カトウグンシホロチョウ,
